dataset,fold,fit_time,score_time,accuracy,balanced_accuracy,precision,recall,roc_auc,average_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth
dataset_6,4,344.0915038585663,0.11548352241516113,0.515625,0.515625,0.5217391304347826,0.375,0.609375,0.5918019358561778,500,2,1,0.8,
dataset_7_1,0,326.0107231140137,0.18535661697387695,0.8367346938775511,0.5,0.0,0.0,0.6189024390243902,0.2241339869281046,100,2,5,0.8,20.0
dataset_7_1,1,333.9631178379059,0.08563232421875,0.8333333333333334,0.5,0.0,0.0,0.5265625,0.20327193850773972,100,5,1,0.8,10.0
dataset_7_1,2,330.54369354248047,0.1816082000732422,0.8333333333333334,0.5,0.0,0.0,0.6,0.21194308611115525,100,2,5,0.8,20.0
dataset_7_1,3,333.5901756286621,0.11663103103637695,0.8333333333333334,0.5,0.0,0.0,0.35000000000000003,0.15036981709189157,200,2,1,,20.0
dataset_7_1,4,334.54909086227417,0.1151893138885498,0.8333333333333334,0.5,0.0,0.0,0.4078125,0.17105256291302803,500,2,1,0.8,
dataset_7_2,0,315.66054940223694,0.13552069664001465,0.8367346938775511,0.5,0.0,0.0,0.6189024390243902,0.2241339869281046,100,2,5,0.8,20.0
dataset_7_2,1,318.4859232902527,0.16777610778808594,0.8333333333333334,0.5,0.0,0.0,0.5265625,0.20327193850773972,100,5,1,0.8,10.0
dataset_7_2,2,318.9344480037689,0.10061001777648926,0.8333333333333334,0.5,0.0,0.0,0.6,0.21194308611115525,100,2,5,0.8,20.0
dataset_7_2,3,326.9620850086212,0.08668017387390137,0.8333333333333334,0.5,0.0,0.0,0.35000000000000003,0.15036981709189157,200,2,1,,20.0
dataset_7_2,4,322.25326323509216,0.130234956741333,0.8333333333333334,0.5,0.0,0.0,0.4078125,0.17105256291302803,500,2,1,0.8,
dataset_8_1,0,623.3694858551025,0.14504671096801758,0.6986301369863014,0.5469812925170068,0.8333333333333334,0.10416666666666667,0.7712585034013606,0.6263168335758718,100,5,1,0.8,
dataset_8_1,1,612.850013256073,0.2240159511566162,0.6413793103448275,0.5056915807560137,0.35714285714285715,0.10416666666666667,0.648840206185567,0.4178741874185851,500,2,1,0.8,
dataset_8_1,2,631.1146807670593,0.09666705131530762,0.6896551724137931,0.5680841924398625,0.5882352941176471,0.20833333333333334,0.7439862542955327,0.5430596484552513,200,5,5,0.8,10.0
dataset_8_1,3,615.2644417285919,0.23324346542358398,0.6758620689655173,0.5941163699522363,0.5,0.3617021276595745,0.709726443768997,0.52751027834096,200,2,10,,
dataset_8_1,4,621.6252419948578,0.11368632316589355,0.7172413793103448,0.5749023013460703,0.8,0.1702127659574468,0.8211029092488059,0.6986683406101751,200,2,1,,10.0
dataset_8_2,0,621.856849193573,0.0890355110168457,0.6986301369863014,0.5469812925170068,0.8333333333333334,0.10416666666666667,0.7712585034013606,0.6263168335758718,100,5,1,0.8,
dataset_8_2,1,610.4775915145874,0.16664648056030273,0.6413793103448275,0.5056915807560137,0.35714285714285715,0.10416666666666667,0.648840206185567,0.4178741874185851,500,2,1,0.8,
dataset_8_2,2,632.9174926280975,0.0964512825012207,0.6896551724137931,0.5680841924398625,0.5882352941176471,0.20833333333333334,0.7439862542955327,0.5430596484552513,200,5,5,0.8,10.0
dataset_8_2,3,621.1547825336456,0.10693669319152832,0.6758620689655173,0.5941163699522363,0.5,0.3617021276595745,0.709726443768997,0.52751027834096,200,2,10,,
dataset_8_2,4,624.295163154602,0.09612321853637695,0.7172413793103448,0.5749023013460703,0.8,0.1702127659574468,0.8211029092488059,0.6986683406101751,200,2,1,,10.0
dataset_8_3,0,619.1220471858978,0.0942389965057373,0.6986301369863014,0.5469812925170068,0.8333333333333334,0.10416666666666667,0.7712585034013606,0.6263168335758718,100,5,1,0.8,
dataset_8_3,1,619.5820443630219,0.15166711807250977,0.6413793103448275,0.5056915807560137,0.35714285714285715,0.10416666666666667,0.648840206185567,0.4178741874185851,500,2,1,0.8,
dataset_8_3,2,631.9045481681824,0.09595417976379395,0.6896551724137931,0.5680841924398625,0.5882352941176471,0.20833333333333334,0.7439862542955327,0.5430596484552513,200,5,5,0.8,10.0
dataset_8_3,3,620.4571721553802,0.09531331062316895,0.6758620689655173,0.5941163699522363,0.5,0.3617021276595745,0.709726443768997,0.52751027834096,200,2,10,,
dataset_8_3,4,622.1356980800629,0.0986318588256836,0.7172413793103448,0.5749023013460703,0.8,0.1702127659574468,0.8211029092488059,0.6986683406101751,200,2,1,,10.0
dataset_7,0,311.01234579086304,0.1306910514831543,0.8367346938775511,0.5,0.0,0.0,0.6189024390243902,0.2241339869281046,100,2,5,0.8,20.0
dataset_7,1,315.34606075286865,0.1641523838043213,0.8333333333333334,0.5,0.0,0.0,0.5265625,0.20327193850773972,100,5,1,0.8,10.0
dataset_7,2,317.9347622394562,0.08569097518920898,0.8333333333333334,0.5,0.0,0.0,0.6,0.21194308611115525,100,2,5,0.8,20.0
dataset_7,3,314.3160095214844,0.1403820514678955,0.8333333333333334,0.5,0.0,0.0,0.35000000000000003,0.15036981709189157,200,2,1,,20.0
dataset_7,4,318.9739308357239,0.11145234107971191,0.8333333333333334,0.5,0.0,0.0,0.4078125,0.17105256291302803,500,2,1,0.8,
dataset_8,0,614.928670167923,0.09771370887756348,0.6986301369863014,0.5469812925170068,0.8333333333333334,0.10416666666666667,0.7712585034013606,0.6263168335758718,100,5,1,0.8,
dataset_8,1,620.4810848236084,0.1458446979522705,0.6413793103448275,0.5056915807560137,0.35714285714285715,0.10416666666666667,0.648840206185567,0.4178741874185851,500,2,1,0.8,
dataset_8,2,620.8683786392212,0.09688115119934082,0.6896551724137931,0.5680841924398625,0.5882352941176471,0.20833333333333334,0.7439862542955327,0.5430596484552513,200,5,5,0.8,10.0
dataset_8,3,623.8698215484619,0.09734106063842773,0.6758620689655173,0.5941163699522363,0.5,0.3617021276595745,0.709726443768997,0.52751027834096,200,2,10,,
dataset_8,4,615.8313076496124,0.16755938529968262,0.7172413793103448,0.5749023013460703,0.8,0.1702127659574468,0.8211029092488059,0.6986683406101751,200,2,1,,10.0
