,ACC,Balanced_ACC,Precision,Recall,AUROC,AUPRC,MCC
simulated_seed7_freq050_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq050_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq050_size1000_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq050_size1000_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed7_freq050_size1000_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq010_size100_noise5_dataset,0.8,0.8,0.8,0.8,0.91,0.9228174603174603,0.6
simulated_seed3_freq010_size100_noise25_dataset,0.35,0.35,0.36363636363636365,0.4,0.38,0.43917438770379946,-0.30151134457776363
simulated_seed3_freq010_size100_noise50_dataset,0.5,0.5,0.5,0.3,0.5800000000000001,0.5582932263814616,0.0
simulated_seed3_freq010_size100_noise60_dataset,0.3,0.3,0.3,0.3,0.355,0.4443873721737499,-0.4
simulated_seed3_freq010_size100_noise70_dataset,0.4,0.39999999999999997,0.4375,0.7,0.25,0.39466459709880763,-0.25
simulated_seed3_freq010_size100_noise80_dataset,0.45,0.45,0.4444444444444444,0.4,0.45,0.5545043793495806,-0.10050378152592121
simulated_seed3_freq025_size100_noise5_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
simulated_seed3_freq025_size100_noise25_dataset,0.95,0.95,0.9090909090909091,1.0,0.99,0.9909090909090909,0.9045340337332909
simulated_seed3_freq025_size100_noise50_dataset,0.8,0.8,0.8,0.8,0.7400000000000001,0.7766838665290677,0.6
simulated_seed3_freq025_size100_noise60_dataset,0.3,0.3,0.3,0.3,0.25,0.4113357527405515,-0.4
simulated_seed3_freq025_size100_noise70_dataset,0.2,0.2,0.25,0.3,0.15,0.38522820016241066,-0.6123724356957946
simulated_seed3_freq025_size100_noise80_dataset,0.35,0.35,0.2857142857142857,0.2,0.19,0.37248293888773765,-0.3144854510165755
simulated_seed3_freq050_size100_noise5_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
simulated_seed3_freq050_size100_noise25_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
simulated_seed3_freq050_size100_noise50_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
simulated_seed3_freq050_size100_noise60_dataset,0.95,0.95,1.0,0.9,0.97,0.9769230769230769,0.9045340337332909
simulated_seed3_freq050_size100_noise70_dataset,0.7,0.7,0.7,0.7,0.79,0.8626633986928104,0.4
simulated_seed3_freq050_size100_noise80_dataset,0.7,0.7,0.7,0.7,0.73,0.8340350877192982,0.4
simulated_seed3_freq010_size200_noise5_dataset,0.9,0.9,1.0,0.8,0.975,0.9805827067669175,0.816496580927726
simulated_seed3_freq010_size200_noise25_dataset,0.85,0.8500000000000001,0.8888888888888888,0.8,0.8799999999999999,0.9094091611003376,0.7035264706814485
simulated_seed3_freq010_size200_noise50_dataset,0.65,0.65,0.7142857142857143,0.5,0.76,0.7845611000970822,0.3144854510165755
simulated_seed3_freq010_size200_noise60_dataset,0.45,0.45,0.4583333333333333,0.55,0.42,0.5139792685205089,-0.10206207261596575
simulated_seed3_freq010_size200_noise70_dataset,0.425,0.42500000000000004,0.42857142857142855,0.45,0.39249999999999996,0.4386620201413741,-0.15018785229652767
simulated_seed3_freq010_size200_noise80_dataset,0.45,0.45,0.4444444444444444,0.4,0.42250000000000004,0.4565058163823162,-0.10050378152592121
simulated_seed3_freq025_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0
simulated_seed3_freq025_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size200_noise50_dataset,0.9,0.9,1.0,0.8,1.0,1.0,0.816496580927726
simulated_seed3_freq025_size200_noise60_dataset,0.825,0.825,0.8421052631578947,0.8,0.9275,0.932961888416694,0.6508140266182866
simulated_seed3_freq025_size200_noise70_dataset,0.675,0.675,0.6521739130434783,0.75,0.77,0.8078226619476621,0.35400521619692155
simulated_seed3_freq025_size200_noise80_dataset,0.8,0.8,0.7727272727272727,0.85,0.85375,0.823142054024407,0.6030226891555273
simulated_seed3_freq050_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size200_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size200_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
