,ACC,Balanced_ACC,Precision,Recall,AUROC,AUPRC,MCC
simulated_seed5_freq050_size50_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq050_size50_noise50_dataset,0.5,0.5,0.5,0.8,0.72,0.8253968253968254,0.0
simulated_seed5_freq050_size50_noise60_dataset,0.9,0.9,1.0,0.8,0.88,0.925,0.816496580927726
simulated_seed5_freq050_size50_noise70_dataset,0.9,0.9,1.0,0.8,1.0,1.0,0.816496580927726
simulated_seed5_freq050_size50_noise80_dataset,0.6,0.6000000000000001,0.6666666666666666,0.4,0.56,0.6676190476190476,0.2182178902359924
simulated_seed3_freq010_size150_noise5_dataset,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9888888888888889,0.9877124183006536,0.8666666666666667
simulated_seed3_freq010_size150_noise25_dataset,0.7333333333333333,0.7333333333333334,0.6842105263157895,0.8666666666666667,0.8,0.7972017677112575,0.48420012470625223
simulated_seed3_freq010_size150_noise50_dataset,0.8333333333333334,0.8333333333333333,0.9166666666666666,0.7333333333333333,0.9488888888888889,0.9346438259596155,0.6804138174397717
simulated_seed3_freq010_size150_noise60_dataset,0.5,0.5,0.5,0.4666666666666667,0.5244444444444445,0.5220661896296571,0.0
simulated_seed3_freq010_size150_noise70_dataset,0.5,0.5,0.5,0.26666666666666666,0.6466666666666666,0.5793041753568069,0.0
simulated_seed3_freq010_size150_noise80_dataset,0.4,0.4,0.4,0.4,0.3466666666666667,0.4312756657670253,-0.2
simulated_seed3_freq025_size150_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size150_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq025_size150_noise50_dataset,0.9,0.9,0.9285714285714286,0.8666666666666667,0.9600000000000001,0.9663881927039821,0.8017837257372731
simulated_seed3_freq025_size150_noise60_dataset,0.8333333333333334,0.8333333333333333,0.7777777777777778,0.9333333333333333,0.9422222222222223,0.9508818958818959,0.6804138174397717
simulated_seed3_freq025_size150_noise70_dataset,0.6333333333333333,0.6333333333333333,0.5833333333333334,0.9333333333333333,0.7866666666666666,0.845280131182768,0.3333333333333333
simulated_seed3_freq025_size150_noise80_dataset,0.7333333333333333,0.7333333333333334,0.6842105263157895,0.8666666666666667,0.8355555555555556,0.8769221905338057,0.48420012470625223
simulated_seed3_freq050_size150_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size150_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size150_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size150_noise60_dataset,0.9666666666666667,0.9666666666666667,0.9375,1.0,0.9822222222222222,0.981498778998779,0.9354143466934853
simulated_seed3_freq050_size150_noise70_dataset,0.9,0.9,0.875,0.9333333333333333,0.9866666666666667,0.9877124183006536,0.8017837257372731
