dataset_name,ACC,Balanced_ACC,Precision,Recall,AUROC,AUPRC,MCC,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,seed,freq,size,noise
simulated_seed3_freq010_size50_noise50_dataset,0.4,0.4,0.4444444444444444,0.8,0.31999999999999995,0.5546031746031745,-0.3333333333333333,100,10,10,0.8,,3,10,50,50
simulated_seed3_freq010_size50_noise60_dataset,0.3,0.30000000000000004,0.25,0.2,0.27999999999999997,0.43238095238095237,-0.408248290463863,500,5,10,0.8,20.0,3,10,50,60
simulated_seed3_freq010_size50_noise70_dataset,0.5,0.5,0.5,0.8,0.32000000000000006,0.4442857142857143,0.0,100,10,10,0.8,,3,10,50,70
simulated_seed3_freq010_size50_noise80_dataset,0.3,0.30000000000000004,0.3333333333333333,0.4,0.3600000000000001,0.5972222222222221,-0.408248290463863,200,2,10,0.8,10.0,3,10,50,80
simulated_seed3_freq025_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,10,5,,,3,25,50,5
simulated_seed3_freq025_size50_noise25_dataset,0.6,0.6,1.0,0.2,0.72,0.7892857142857141,0.3333333333333333,500,5,10,0.8,20.0,3,25,50,25
simulated_seed3_freq025_size50_noise50_dataset,0.5,0.5,0.5,0.2,0.6799999999999999,0.7226190476190477,0.0,200,2,10,,,3,25,50,50
simulated_seed3_freq025_size50_noise60_dataset,0.3,0.30000000000000004,0.25,0.2,0.12,0.38055555555555554,-0.408248290463863,100,10,10,0.8,,3,25,50,60
simulated_seed3_freq025_size50_noise70_dataset,0.3,0.3,0.0,0.0,0.19999999999999998,0.4023809523809524,-0.5,100,10,10,,,3,25,50,70
simulated_seed3_freq025_size50_noise80_dataset,0.1,0.1,0.0,0.0,0.0,0.3543650793650793,-0.816496580927726,100,10,10,,,3,25,50,80
simulated_seed3_freq050_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,50,50,5
simulated_seed3_freq050_size50_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,50,50,25
simulated_seed3_freq050_size50_noise50_dataset,0.5,0.5,0.5,0.6,0.56,0.7142857142857142,0.0,200,2,10,,,3,50,50,50
simulated_seed3_freq050_size50_noise60_dataset,0.7,0.7,0.75,0.6,0.8400000000000001,0.8528571428571428,0.408248290463863,500,5,10,0.8,20.0,3,50,50,60
simulated_seed3_freq050_size50_noise70_dataset,0.4,0.4,0.3333333333333333,0.2,0.32,0.4523809523809524,-0.2182178902359924,500,5,10,,20.0,3,50,50,70
simulated_seed3_freq050_size50_noise80_dataset,0.3,0.3,0.0,0.0,0.32000000000000006,0.4442857142857143,-0.5,200,2,10,0.8,10.0,3,50,50,80
simulated_seed7_freq010_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,,20.0,7,10,50,5
simulated_seed7_freq010_size50_noise25_dataset,0.8,0.8,0.8,0.8,0.9600000000000001,0.9666666666666666,0.6,500,5,10,0.8,20.0,7,10,50,25
simulated_seed7_freq010_size50_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,10,50,50
simulated_seed7_freq010_size50_noise60_dataset,0.6,0.6,0.6,0.6,0.84,0.8761904761904762,0.2,100,10,10,,,7,10,50,60
simulated_seed7_freq010_size50_noise70_dataset,0.6,0.6000000000000001,0.5714285714285714,0.8,0.56,0.5787301587301588,0.2182178902359924,100,10,10,,,7,10,50,70
simulated_seed7_freq010_size50_noise80_dataset,0.5,0.5,0.5,0.2,0.48,0.5533333333333333,0.0,100,10,10,,,7,10,50,80
simulated_seed7_freq025_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,25,50,5
simulated_seed7_freq025_size50_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,,20.0,7,25,50,25
simulated_seed7_freq025_size50_noise50_dataset,0.8,0.8,1.0,0.6,1.0,1.0,0.6546536707079772,500,5,10,0.8,20.0,7,25,50,50
simulated_seed7_freq025_size50_noise60_dataset,0.7,0.7,0.75,0.6,0.8,0.8711111111111112,0.408248290463863,500,5,10,0.8,20.0,7,25,50,60
simulated_seed7_freq025_size50_noise70_dataset,0.4,0.4,0.3333333333333333,0.2,0.19999999999999998,0.40793650793650793,-0.2182178902359924,500,5,10,0.8,20.0,7,25,50,70
simulated_seed7_freq025_size50_noise80_dataset,0.3,0.30000000000000004,0.25,0.2,0.24,0.4157142857142857,-0.408248290463863,500,5,10,,20.0,7,25,50,80
simulated_seed7_freq050_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,50,5
simulated_seed7_freq050_size50_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,50,25
simulated_seed7_freq050_size50_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,50,50
simulated_seed7_freq050_size50_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,,20.0,7,50,50,60
simulated_seed7_freq050_size50_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,2,10,,,7,50,50,70
simulated_seed7_freq050_size50_noise80_dataset,0.8,0.8,1.0,0.6,0.92,0.9266666666666665,0.6546536707079772,500,5,10,0.8,20.0,7,50,50,80
simulated_seed5_freq010_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,10,5,,,5,10,200,5
simulated_seed5_freq010_size200_noise25_dataset,0.975,0.975,0.9523809523809523,1.0,0.9974999999999999,0.9976190476190476,0.9511897312113419,500,10,1,0.8,20.0,5,10,200,25
simulated_seed5_freq010_size200_noise50_dataset,0.875,0.875,1.0,0.75,0.9724999999999999,0.9759218559218559,0.7745966692414834,500,10,1,0.8,20.0,5,10,200,50
simulated_seed5_freq010_size200_noise60_dataset,0.95,0.95,1.0,0.9,0.98,0.9831818181818182,0.9045340337332909,500,10,1,0.8,20.0,5,10,200,60
simulated_seed5_freq010_size200_noise70_dataset,0.875,0.875,0.9411764705882353,0.8,0.8975,0.9075687397827491,0.7585826061362605,500,10,1,0.8,20.0,5,10,200,70
simulated_seed5_freq010_size200_noise80_dataset,0.65,0.6499999999999999,0.6666666666666666,0.6,0.7,0.6941771194136923,0.30151134457776363,200,10,5,,,5,10,200,80
simulated_seed5_freq025_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,5,25,200,5
simulated_seed5_freq025_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,5,25,200,25
simulated_seed5_freq025_size200_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,200,2,10,0.8,10.0,5,25,200,50
simulated_seed5_freq025_size200_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,10,1,0.8,20.0,5,25,200,60
simulated_seed5_freq025_size200_noise70_dataset,0.95,0.95,1.0,0.9,1.0,1.0000000000000002,0.9045340337332909,200,5,5,0.8,10.0,5,25,200,70
simulated_seed5_freq025_size200_noise80_dataset,0.95,0.95,1.0,0.9,1.0,1.0,0.9045340337332909,200,5,1,0.8,,5,25,200,80
simulated_seed5_freq050_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,50,200,5
simulated_seed5_freq050_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,50,200,25
simulated_seed5_freq050_size200_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,5,50,200,50
simulated_seed5_freq050_size200_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,50,200,60
simulated_seed5_freq050_size200_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,50,200,70
simulated_seed5_freq050_size200_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,5,50,200,80
simulated_seed7_freq010_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,10,200,5
simulated_seed7_freq010_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,10,200,25
simulated_seed7_freq010_size200_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,10,1,0.8,20.0,7,10,200,50
simulated_seed7_freq010_size200_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,2,1,0.8,,7,10,200,60
simulated_seed7_freq010_size200_noise70_dataset,0.95,0.95,1.0,0.9,1.0,1.0,0.9045340337332909,500,10,1,0.8,20.0,7,10,200,70
simulated_seed7_freq010_size200_noise80_dataset,0.9,0.9,0.8333333333333334,1.0,0.9775,0.9795172219085262,0.816496580927726,500,10,1,0.8,20.0,7,10,200,80
simulated_seed7_freq025_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,7,25,200,5
simulated_seed7_freq025_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,7,25,200,25
simulated_seed7_freq025_size200_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,7,25,200,50
simulated_seed7_freq025_size200_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,200,2,1,,20.0,7,25,200,60
simulated_seed7_freq025_size200_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,7,25,200,70
simulated_seed7_freq025_size200_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,5,1,0.8,10.0,7,25,200,80
simulated_seed7_freq050_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,200,5
simulated_seed7_freq050_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,200,25
simulated_seed7_freq050_size200_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,7,50,200,50
simulated_seed7_freq050_size200_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,200,60
simulated_seed7_freq050_size200_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,200,70
simulated_seed7_freq050_size200_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,7,50,200,80
simulated_seed5_freq010_size100_noise5_dataset,0.9,0.9,0.9,0.9,0.9800000000000001,0.9833333333333333,0.8,100,2,5,0.8,20.0,5,10,100,5
simulated_seed5_freq010_size100_noise25_dataset,0.8,0.8,0.8,0.8,0.86,0.8887301587301587,0.6,500,10,1,0.8,20.0,5,10,100,25
simulated_seed5_freq010_size100_noise50_dataset,0.8,0.8,0.7142857142857143,1.0,0.84,0.8227960927960928,0.6546536707079772,500,10,1,0.8,20.0,5,10,100,50
simulated_seed5_freq010_size100_noise60_dataset,0.7,0.7,0.6666666666666666,0.8,0.8200000000000001,0.8729901960784313,0.408248290463863,500,10,1,0.8,20.0,5,10,100,60
simulated_seed5_freq010_size100_noise70_dataset,0.65,0.65,0.6153846153846154,0.8,0.7,0.7422130647130647,0.3144854510165755,100,2,5,0.8,20.0,5,10,100,70
simulated_seed5_freq010_size100_noise80_dataset,0.75,0.75,0.7777777777777778,0.7,0.9199999999999999,0.9262412587412586,0.502518907629606,200,2,1,,20.0,5,10,100,80
simulated_seed5_freq025_size100_noise5_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,0.8,20.0,5,25,100,5
simulated_seed5_freq025_size100_noise25_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,2,1,,10.0,5,25,100,25
simulated_seed5_freq025_size100_noise50_dataset,0.95,0.95,1.0,0.9,1.0,0.9999999999999999,0.9045340337332909,100,10,5,,,5,25,100,50
simulated_seed5_freq025_size100_noise60_dataset,0.7,0.7,0.6666666666666666,0.8,0.84,0.8915508021390374,0.408248290463863,500,5,10,0.8,20.0,5,25,100,60
simulated_seed5_freq025_size100_noise70_dataset,0.65,0.6499999999999999,0.6666666666666666,0.6,0.78,0.8258333333333333,0.30151134457776363,200,2,10,,,5,25,100,70
simulated_seed5_freq025_size100_noise80_dataset,0.8,0.8,0.875,0.7,0.8800000000000001,0.8942600373482726,0.6123724356957946,200,5,1,0.8,,5,25,100,80
simulated_seed5_freq050_size100_noise5_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,0.8,20.0,5,50,100,5
simulated_seed5_freq050_size100_noise25_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,0.8,20.0,5,50,100,25
simulated_seed5_freq050_size100_noise50_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,0.8,20.0,5,50,100,50
simulated_seed5_freq050_size100_noise60_dataset,0.95,0.95,1.0,0.9,0.9800000000000001,0.9833333333333333,0.9045340337332909,200,10,5,,,5,50,100,60
simulated_seed5_freq050_size100_noise70_dataset,0.9,0.9,0.9,0.9,0.9400000000000001,0.9566666666666667,0.8,200,2,10,,,5,50,100,70
simulated_seed5_freq050_size100_noise80_dataset,0.95,0.95,1.0,0.9,0.9800000000000001,0.9833333333333333,0.9045340337332909,200,2,10,,,5,50,100,80
simulated_seed5_freq010_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,5,10,1000,5
simulated_seed5_freq010_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,10,1000,25
simulated_seed5_freq010_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,10,10,0.8,,5,10,1000,50
simulated_seed5_freq010_size1000_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,10.0,5,10,1000,60
simulated_seed5_freq010_size1000_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,5,1,0.8,10.0,5,10,1000,70
simulated_seed5_freq010_size1000_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,2,5,0.8,20.0,5,10,1000,80
simulated_seed5_freq025_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,25,1000,5
simulated_seed5_freq025_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,25,1000,25
simulated_seed5_freq025_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,0.8,20.0,5,25,1000,50
simulated_seed5_freq025_size1000_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,25,1000,60
simulated_seed5_freq025_size1000_noise70_dataset,0.995,0.995,1.0,0.99,1.0,1.0000000000000002,0.9900495037128093,200,2,1,,20.0,5,25,1000,70
simulated_seed5_freq025_size1000_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,25,1000,80
simulated_seed5_freq050_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,50,1000,5
simulated_seed5_freq050_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,50,1000,25
simulated_seed5_freq050_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,50,1000,50
simulated_seed5_freq050_size1000_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,50,1000,60
simulated_seed5_freq050_size1000_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,5,50,1000,70
simulated_seed5_freq050_size1000_noise80_dataset,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,500,5,10,0.8,20.0,5,50,1000,80
simulated_seed7_freq010_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,10,1000,5
simulated_seed7_freq010_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,7,10,1000,25
simulated_seed7_freq010_size1000_noise50_dataset,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,200,2,1,,20.0,7,10,1000,50
simulated_seed7_freq010_size1000_noise60_dataset,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,200,2,1,,20.0,7,10,1000,60
simulated_seed7_freq010_size1000_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,10,1000,70
simulated_seed7_freq010_size1000_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,7,10,1000,80
simulated_seed7_freq025_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,25,1000,5
simulated_seed7_freq025_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,25,1000,25
simulated_seed7_freq025_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,7,25,1000,50
simulated_seed7_freq025_size1000_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,25,1000,60
simulated_seed7_freq025_size1000_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,25,1000,70
simulated_seed7_freq025_size1000_noise80_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,25,1000,80
simulated_seed7_freq050_size1000_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,1000,5
simulated_seed7_freq050_size1000_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,7,50,1000,25
simulated_seed7_freq050_size1000_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,1000,50
simulated_seed7_freq050_size1000_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,7,50,1000,60
simulated_seed7_freq050_size1000_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,500,5,10,0.8,20.0,7,50,1000,70
simulated_seed7_freq050_size1000_noise80_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,0.8,20.0,7,50,1000,80
simulated_seed3_freq010_size100_noise5_dataset,0.85,0.8500000000000001,0.8888888888888888,0.8,0.9199999999999999,0.9283119658119657,0.7035264706814485,500,2,1,,10.0,3,10,100,5
simulated_seed3_freq010_size100_noise25_dataset,0.45,0.45,0.4444444444444444,0.4,0.53,0.5003787878787879,-0.10050378152592121,100,5,1,0.8,10.0,3,10,100,25
simulated_seed3_freq010_size100_noise50_dataset,0.5,0.5,0.5,0.3,0.61,0.5670399045399046,0.0,200,5,1,0.8,,3,10,100,50
simulated_seed3_freq010_size100_noise60_dataset,0.6,0.6,0.5833333333333334,0.7,0.51,0.48671883671883676,0.2041241452319315,100,10,10,0.8,,3,10,100,60
simulated_seed3_freq010_size100_noise70_dataset,0.3,0.3,0.35714285714285715,0.5,0.31000000000000005,0.4598882623224728,-0.4364357804719848,100,10,10,0.8,,3,10,100,70
simulated_seed3_freq010_size100_noise80_dataset,0.5,0.5,0.5,0.4,0.45999999999999996,0.590038289883491,0.0,200,2,1,,20.0,3,10,100,80
simulated_seed3_freq025_size100_noise5_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,0.8,20.0,3,25,100,5
simulated_seed3_freq025_size100_noise25_dataset,0.9,0.9,0.9,0.9,0.99,0.9909090909090909,0.8,200,10,5,,,3,25,100,25
simulated_seed3_freq025_size100_noise50_dataset,0.8,0.8,0.875,0.7,0.8200000000000001,0.7544769119769119,0.6123724356957946,200,2,10,0.8,10.0,3,25,100,50
simulated_seed3_freq025_size100_noise60_dataset,0.35,0.35,0.3333333333333333,0.3,0.33999999999999997,0.44382862235803416,-0.30151134457776363,500,5,10,0.8,20.0,3,25,100,60
simulated_seed3_freq025_size100_noise70_dataset,0.2,0.2,0.25,0.3,0.15,0.38522820016241066,-0.6123724356957946,200,2,10,,,3,25,100,70
simulated_seed3_freq025_size100_noise80_dataset,0.35,0.35,0.2857142857142857,0.2,0.26,0.3945684432526538,-0.3144854510165755,500,5,10,0.8,20.0,3,25,100,80
simulated_seed3_freq050_size100_noise5_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,0.8,20.0,3,50,100,5
simulated_seed3_freq050_size100_noise25_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,0.8,20.0,3,50,100,25
simulated_seed3_freq050_size100_noise50_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,500,5,10,,20.0,3,50,100,50
simulated_seed3_freq050_size100_noise60_dataset,0.8,0.8,0.8,0.8,0.9400000000000001,0.9532467532467531,0.6,500,5,10,,20.0,3,50,100,60
simulated_seed3_freq050_size100_noise70_dataset,0.65,0.6499999999999999,0.6363636363636364,0.7,0.79,0.8630555555555555,0.30151134457776363,500,2,1,0.8,,3,50,100,70
simulated_seed3_freq050_size100_noise80_dataset,0.65,0.6499999999999999,0.6363636363636364,0.7,0.6699999999999999,0.8118128654970759,0.30151134457776363,500,2,1,,10.0,3,50,100,80
simulated_seed3_freq010_size200_noise5_dataset,0.925,0.925,1.0,0.85,0.96,0.9729095465937572,0.8597269536210952,500,10,1,0.8,20.0,3,10,200,5
simulated_seed3_freq010_size200_noise25_dataset,0.775,0.775,0.7894736842105263,0.75,0.855,0.8850754124117501,0.5506887917539348,100,2,5,0.8,20.0,3,10,200,25
simulated_seed3_freq010_size200_noise50_dataset,0.575,0.575,0.5882352941176471,0.5,0.72875,0.7333016102255232,0.1517165212272521,200,2,1,,20.0,3,10,200,50
simulated_seed3_freq010_size200_noise60_dataset,0.45,0.45,0.4583333333333333,0.55,0.42,0.5139792685205089,-0.10206207261596575,200,2,10,,,3,10,200,60
simulated_seed3_freq010_size200_noise70_dataset,0.225,0.22499999999999998,0.17647058823529413,0.15,0.27,0.38143354230911153,-0.556293911166591,200,5,5,0.8,10.0,3,10,200,70
simulated_seed3_freq010_size200_noise80_dataset,0.45,0.45,0.4444444444444444,0.4,0.41750000000000004,0.45269862683983253,-0.10050378152592121,100,5,5,,10.0,3,10,200,80
simulated_seed3_freq025_size200_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,200,5
simulated_seed3_freq025_size200_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,5,5,0.8,10.0,3,25,200,25
simulated_seed3_freq025_size200_noise50_dataset,0.85,0.85,0.9375,0.75,0.9600000000000001,0.9594715314355406,0.7144345083117603,200,5,1,0.8,,3,25,200,50
simulated_seed3_freq025_size200_noise60_dataset,0.875,0.875,0.8571428571428571,0.9,0.97625,0.9779710144927538,0.7509392614826383,200,2,1,,20.0,3,25,200,60
simulated_seed3_freq025_size200_noise70_dataset,0.75,0.75,0.7083333333333334,0.85,0.7725,0.8046322721180148,0.5103103630798288,500,2,1,,10.0,3,25,200,70
