dataset_name,fold,fit_time,score_time,accuracy,balanced_accuracy,precision,recall,roc_auc,average_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,seed,freq,size,noise
simulated_seed5_freq025_size50_noise70_dataset,4,269.77843952178955,0.038884639739990234,0.375,0.375,0.3333333333333333,0.25,0.4375,0.6178571428571429,100,10,5,,,5,25,50,70
simulated_seed5_freq025_size50_noise80_dataset,0,269.8389558792114,0.23891067504882812,0.75,0.75,0.75,0.75,0.6875,0.7470238095238095,500,5,10,,20.0,5,25,50,80
simulated_seed5_freq025_size50_noise80_dataset,1,270.4220540523529,0.0717000961303711,0.0,0.0,0.0,0.0,0.0,0.3654761904761905,200,2,10,,,5,25,50,80
simulated_seed5_freq025_size50_noise80_dataset,2,265.76521921157837,0.16869759559631348,0.375,0.375,0.3333333333333333,0.25,0.375,0.4928571428571429,200,2,10,,,5,25,50,80
simulated_seed5_freq025_size50_noise80_dataset,3,270.59858322143555,0.0470278263092041,0.75,0.75,0.6666666666666666,1.0,0.75,0.6791666666666667,200,2,10,,,5,25,50,80
simulated_seed5_freq025_size50_noise80_dataset,4,264.7079153060913,0.2337174415588379,0.25,0.25,0.25,0.25,0.375,0.6,200,2,10,,,5,25,50,80
simulated_seed5_freq050_size50_noise5_dataset,0,268.2374129295349,0.0553133487701416,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,5,50,50,5
simulated_seed5_freq050_size50_noise5_dataset,1,268.3584442138672,0.048090457916259766,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,5,50,50,5
simulated_seed5_freq050_size50_noise5_dataset,2,268.04441714286804,0.07611751556396484,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,5,50,50,5
simulated_seed5_freq050_size50_noise5_dataset,3,265.6679790019989,0.13763880729675293,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,5,50,50,5
simulated_seed5_freq050_size50_noise5_dataset,4,267.9219365119934,0.08348846435546875,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,5,50,50,5
simulated_seed5_freq050_size50_noise25_dataset,0,262.84093165397644,0.16515254974365234,1.0,1.0,1.0,1.0,1.0,1.0,200,5,5,0.8,10.0,5,50,50,25
simulated_seed5_freq050_size50_noise25_dataset,1,267.5252115726471,0.0547788143157959,1.0,1.0,1.0,1.0,1.0,1.0,200,5,5,0.8,10.0,5,50,50,25
simulated_seed5_freq050_size50_noise25_dataset,2,261.37669587135315,0.18022370338439941,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,5,50,50,25
simulated_seed5_freq050_size50_noise25_dataset,3,267.1774115562439,0.09380269050598145,1.0,1.0,1.0,1.0,1.0,1.0,200,5,5,0.8,10.0,5,50,50,25
simulated_seed5_freq050_size50_noise25_dataset,4,267.60091853141785,0.045516014099121094,1.0,1.0,1.0,1.0,1.0,1.0,200,2,1,,20.0,5,50,50,25
simulated_seed5_freq050_size50_noise50_dataset,0,269.35272574424744,0.11300945281982422,0.875,0.875,0.8,1.0,1.0,1.0,500,2,1,0.8,,5,50,50,50
simulated_seed5_freq050_size50_noise50_dataset,1,269.82080030441284,0.09905076026916504,0.875,0.875,0.8,1.0,1.0,1.0,500,5,10,,20.0,5,50,50,50
simulated_seed5_freq050_size50_noise50_dataset,2,270.03259468078613,0.06948518753051758,0.75,0.75,0.6666666666666666,1.0,0.875,0.9166666666666666,500,10,5,0.8,10.0,5,50,50,50
simulated_seed5_freq050_size50_noise50_dataset,3,266.44795298576355,0.06668829917907715,0.75,0.75,0.75,0.75,0.75,0.875,100,2,5,0.8,20.0,5,50,50,50
simulated_seed5_freq050_size50_noise50_dataset,4,265.8135795593262,0.22940683364868164,0.875,0.875,1.0,0.75,0.9375,0.95,200,5,5,0.8,10.0,5,50,50,50
simulated_seed5_freq050_size50_noise60_dataset,0,267.13089394569397,0.06005716323852539,0.5,0.5,0.5,0.75,0.5625,0.6916666666666667,100,10,5,,,5,50,50,60
simulated_seed5_freq050_size50_noise60_dataset,1,263.2398636341095,0.12704992294311523,0.625,0.625,0.6666666666666666,0.5,0.8125,0.8541666666666666,100,10,5,,,5,50,50,60
simulated_seed5_freq050_size50_noise60_dataset,2,264.7598731517792,0.16247868537902832,0.625,0.625,0.6,0.75,0.75,0.875,200,10,5,,,5,50,50,60
simulated_seed5_freq050_size50_noise60_dataset,3,267.50965213775635,0.07360649108886719,0.75,0.75,0.6666666666666666,1.0,1.0,1.0,500,5,10,,20.0,5,50,50,60
simulated_seed5_freq050_size50_noise60_dataset,4,264.8707993030548,0.17616915702819824,0.875,0.875,0.8,1.0,0.875,0.8875,200,10,5,,,5,50,50,60
